name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,genre,YOUTUBE,spotify
Better Together,In Between Dreams,Jack Johnson,4VywXu6umkIQ2OS0m1I79y,1/1/2005,72,207680,0.868,0.308,0.347,2.00E-05,0.11,0.659,-9.529,0.0536,110.059,5,4,Happy,Hip-Hop,https://youtu.be/RSsTx2TBrww?si=cPp4Znu7uBA_Qu5y,https://open.spotify.com/track/4VywXu6umkIQ2OS0m1I79y?si=5bd7db46b8e74880
Betty,Betty,Wilson Trouvé,0yBM8cOHjb6iiMI2eM8pIc,5/29/2020,32,161750,0.171,0.89,0.185,0.94,0.101,0.264,-19.651,0.0348,142.694,9,4,Calm,Metal,https://youtu.be/jEu5xQf_dIo?si=K7FjZy28ExaJVrbg,https://open.spotify.com/track/0yBM8cOHjb6iiMI2eM8pIc?si=00257c6085514ea5
Billinghurst,Damon EP,Jeremy Olander,6B2jQL05apmJlDZtPIxD3R,4/21/2017,0,456585,0.769,0.0305,0.701,0.85,0.0929,0.168,-9.089,0.062,123.011,5,4,Energetic,Folk,https://youtu.be/nUw09obnAZ0?si=FQjEVVje7oxpEt0_,https://open.spotify.com/track/7DQnfNfL8DFvw0QGr0Krwx?si=9a4ef04aa6b74284
Bird,Writing of Blues and Yellows (Deluxe Version),Billie Marten,6DzvC1VHpyTFfLBbAYBa7W,9/23/2016,55,220640,0.235,0.988,0.187,0.00197,0.106,0.118,-12.754,0.0347,85.962,6,4,Sad,R&B,https://youtu.be/smX6xCPDbrE?si=C76JmG51h9eyorml,https://open.spotify.com/track/6DzvC1VHpyTFfLBbAYBa7W?si=908815e478464bac
Bison on the Plains,Bison on the Plains,Grandaddy,0e0hVla9NkILk2JWOwVCMW,11/19/2018,32,308800,0.476,0.285,0.522,0.0127,0.193,0.0973,-8.159,0.0281,133.874,9,4,Sad,R&B,https://open.spotify.com/track/5Od41KXAFTXsaVBzE7KukR?si=be64c168b3784fd6,https://open.spotify.com/track/5Od41KXAFTXsaVBzE7KukR?si=c7cef66a923543b2
Black Car,Black Car,Beach House,7ESnexsnylx85YfT6ZiSun,5/2/2018,0,251160,0.407,0.344,0.549,0.901,0.111,0.32,-10.244,0.0293,77.473,9,4,Sad,Folk,https://youtu.be/Er0leZrMaqc?si=F6K17lXesbHePJEz,https://open.spotify.com/track/01nAFCJt800IIkmGwuWiWR?si=37a9dc433eba4485
Blackout,Blackout,(Hed) P.E.,6yTnvHRhUuuaoxy4dHzLGo,2003,37,233266,0.548,0.00016,0.864,0.00262,0.0354,0.5,-6.258,0.0557,95.569,1,4,Energetic,Metal,https://youtu.be/CYdz6t7xmiQ?si=0JKagSmWgc0yjY-1,https://open.spotify.com/track/1PJ4kEaE6KGLZNXkSA1nDe?si=727e1bcf00134735
Blame,Blame,Manse,3TSZpRzSEKL1dFfpd1JDoF,6/26/2019,53,180937,0.612,0.619,0.68,0,0.0786,0.346,-4.925,0.0346,127.909,0,4,Energetic,Rock,https://youtu.be/tu3Dpgb8zwg?si=uhiY4KdJoa_NhSfz,https://open.spotify.com/track/7abpICfGgzsi2HvbaKOujr?si=1100403dae1d4895
Blaster,Blaster,Marc Benjamin,1fMZR4DD2mE0iXginD9fOc,11/23/2018,0,159523,0.667,0.0326,0.857,0.464,0.27,0.301,-4.729,0.0468,125.946,2,4,Energetic,Jazz,https://youtu.be/5q47BQIrnS4?si=oT03HH7CtSyk2QNs,https://open.spotify.com/track/1VWj56Sd6ntpRQYkWMtJsX?si=6aaca856c7054a0e
Bleed American,Bleed American,Jimmy Eat World,61XspFITuKmAlYdQacNCbF,7/17/2001,63,181493,0.438,0.00842,0.938,1.08E-06,0.806,0.584,-5.611,0.094,160.212,6,4,Energetic,Jazz,https://youtu.be/Ag8yc8yx2LU?si=yOOyV23_87GBkRIf,https://open.spotify.com/album/0UJhhj5bn5AGAjryFnhueP?si=6LQoOP5DS3K_Q6zIu4BDxA
Bloodbuzz Ohio,Bloodbuzz Ohio,SOAK,2pfkaHd8arhESSxyJAou6g,11/25/2019,46,279967,0.441,0.715,0.268,1.49E-06,0.11,0.057,-8.173,0.0308,140.073,6,4,Sad,Punk,https://youtu.be/jbyRyu0tJeA?si=hz6D4B_8PjJvWacs,https://open.spotify.com/track/6VaUCACDvyJhcfQIrkgCzZ?si=fe8bde408a9d4e97
Bloom,Bloom,Hilder Sky,5DP6ow4t5Mmfge0fMRhSJD,5/30/2019,52,121069,0.249,0.945,0.129,0.839,0.17,0.253,-18.167,0.0324,70.59,4,5,Calm,Classical,https://youtu.be/v3jRlMP4dkI?si=htBnpiK9SuVDZwAk,https://open.spotify.com/track/5DP6ow4t5Mmfge0fMRhSJD?si=23d90de714a24c47
Bloom Innocent,Bloom Innocent,Fink,7zNT9GE070fYjnhx6TFWnQ,9/4/2019,20,416353,0.519,0.931,0.236,0.133,0.127,0.283,-18.378,0.0362,80.008,2,4,Sad,Hip-Hop,https://youtu.be/bmMwcoy5RMU?si=xsl19jDI8AZr4yjE,https://open.spotify.com/album/5BFBEvoKh7KtK0sQvkeCSs?si=HG_t-r6PQIedBHgtjtoe2g
